,Traditional Portfolio,Bitcoin Portfolio,Ethereum Portfolio,Alpha Portfolio
2017-03-10,1.1439743307630563,1.2772969693894702,1.6962738593239337,1.5871868615429507
2017-03-13,1.144055295221676,1.2908849499347168,1.7780755686213439,1.6576452122772058
2017-03-14,1.1398491213727118,1.2864716619960685,1.7712141529472778,1.6578853775220643
2017-03-15,1.1534490171032044,1.3026394475054983,1.831669350387536,1.7009889218820515
2017-03-16,1.153658615219373,1.2970675575870165,1.891882849182224,1.7361690813868849
2017-03-17,1.1515585324112299,1.2847163690176067,1.8897852938322268,1.7292698067726249
2017-03-20,1.1532850351210444,1.2809246033221693,1.878235255289757,1.7171464052447152
2017-03-21,1.1500592899324331,1.2852493054359393,1.871701722919482,1.722873417993065
2017-03-22,1.1526926951180134,1.2798296967309024,1.8722519795768866,1.7158766172371507
2017-03-23,1.1514218643687588,1.277170547681771,1.8761534050477882,1.7176706766894196
2017-03-24,1.151871587769033,1.2650959018777792,1.9171751267193702,1.7369831887734715
2017-03-27,1.1538738331272322,1.2819065318459932,1.9080935751701877,1.7441905708147316
2017-03-28,1.1561093488559993,1.284637794348874,1.91616390022067,1.748093704428807
2017-03-29,1.1582894955410243,1.285609248365139,1.927799841321239,1.7582903795601121
2017-03-30,1.1565642254673858,1.282276138663571,1.9219721576314326,1.7509016946674827
2017-03-31,1.1563280708382184,1.2875328246446154,1.913374303653968,1.7512033713362631
2017-04-03,1.158346255476306,1.2977978396475858,1.8940486338048335,1.7484110743909522
2017-04-04,1.1594494418491583,1.29818765781024,1.8975853001404364,1.7469971848020305
2017-04-05,1.1579149141974043,1.295287863988885,1.8975792676447232,1.7480879467406822
2017-04-06,1.1578162500862375,1.3018704138045307,1.8888181235293326,1.7477276450693955
2017-04-07,1.1583734084416457,1.3017940359175812,1.8849151600451066,1.7436117931210096
2017-04-10,1.1588952658833143,1.303313032793778,1.8911654069987265,1.750690902783854
2017-04-11,1.1652907213283,1.3120504665020187,1.9008735154912668,1.760133233824321
2017-04-12,1.1662893216606773,1.3122649776703295,1.914528683187575,1.7718256642006136
2017-04-13,1.1647720830440622,1.3070997002815246,1.9282153808580378,1.779964522813836
2017-04-17,1.1682340564048694,1.3141081285114313,1.9271404508558296,1.7783672327442486
2017-04-18,1.1690062381813127,1.3165961872593834,1.937508983684309,1.7910057851806773
2017-04-19,1.1636039685854718,1.310562108657532,1.9196711922298715,1.77831127757519
2017-04-20,1.1690168786920103,1.3189206451626827,1.9343663056527205,1.7873046322847745
2017-04-21,1.1686132122890767,1.3175786540417003,1.9278663825593005,1.7824467853033805
2017-04-24,1.1710586382382622,1.3242771937568065,1.9404589004737614,1.789040646568107
2017-04-25,1.1688582746686245,1.3243914862360993,1.9377011789339424,1.7834631782677604
2017-04-26,1.1711899350401922,1.3282058374123509,1.9518825978077707,1.7972793044314117
2017-04-27,1.1699885049873706,1.330584381960806,1.98477139856468,1.825898318556129
2017-04-28,1.1703024112843134,1.330688161331475,2.0106282118807264,1.845518714196004
2017-05-01,1.1669590980491908,1.3381422862414316,2.0234261779591582,1.8622982222993834
2017-05-02,1.1673057514764835,1.3412438818693928,2.026236478016068,1.8690141647494818
2017-05-03,1.160253836172609,1.3363820286393144,2.0201302260299445,1.8722362954781346
2017-05-04,1.1557048557791803,1.3360419989379182,2.056912227267773,1.9021851072502807
2017-05-05,1.1588387793040822,1.3412235589601489,2.0570329828431846,1.902507135605008
2017-05-08,1.157690486708166,1.354397139927287,2.048543491068849,1.9101114572344557
2017-05-09,1.154634737431437,1.3530429687158614,2.0421132597842617,1.9106341455267366
2017-05-10,1.1556110622598899,1.356660091280268,2.0402072601824965,1.9108998487613715
2017-05-11,1.156234179557848,1.3620897187533088,2.042167088944929,1.9164216551104953
2017-05-12,1.1568001446668752,1.353333941159584,2.039992981449121,1.90793810525544
2017-05-15,1.1608673458503476,1.3596216532642988,2.0564428540194735,1.9171425252792436
2017-05-16,1.1621039018621715,1.3610557840927655,2.052458532916364,1.9124746958952692
2017-05-17,1.1606866826379625,1.3670945466587547,2.050151691477879,1.9237372916407087
