,BTC,ETH,SPY,TLT,GLD,USD,XLE,XLF
2017-12-21,15802.90039,821.062988,267.5799865722656,120.30999755859375,124.5999984741211,93.27999877929688,71.81999969482422,28.1299991607666
2017-12-22,13831.799809999999,674.8599849999999,267.510009765625,120.94000244140625,124.7699966430664,93.3499984741211,71.97000122070312,28.049999237060547
2017-12-26,16099.799809999999,773.835999,267.19000244140625,121.7699966430664,125.13999938964844,93.26000213623047,72.5999984741211,27.969999313354492
2017-12-27,15838.5,762.84198,267.32000732421875,122.2300033569336,126.7699966430664,93.02999877929688,72.36000061035156,28.0
2017-12-28,14606.5,737.02301,267.8699951171875,122.8499984741211,126.66000366210938,92.5999984741211,72.47000122070312,28.110000610351562
2017-12-29,14656.2002,753.59198,266.8599853515625,123.6500015258789,126.86000061035156,92.12000274658203,72.26000213623047,27.90999984741211
2018-01-02,14982.09961,884.4439699999999,268.7699890136719,125.1500015258789,125.48999786376953,91.8499984741211,73.44999694824219,27.920000076293945
2018-01-03,15201.0,962.7199710000001,270.4700012207031,124.81999969482422,126.08999633789062,92.16000366210938,74.55000305175781,28.06999969482422
2018-01-04,15599.2002,980.921997,271.6099853515625,125.45999908447266,126.06999969482422,91.8499984741211,75.0,28.329999923706055
2018-01-05,17429.5,997.7199710000001,273.4200134277344,125.33000183105469,125.70999908447266,91.94999694824219,74.97000122070312,28.40999984741211
2018-01-08,15170.09961,1148.530029,273.9200134277344,125.30999755859375,125.62999725341797,92.33000183105469,75.41999816894531,28.3700008392334
2018-01-09,14595.40039,1299.73999,274.5400085449219,124.7300033569336,123.94999694824219,92.52999877929688,75.2300033569336,28.59000015258789
2018-01-10,14973.299809999999,1255.819946,274.1199951171875,125.02999877929688,123.80000305175781,92.33000183105469,75.13999938964844,28.829999923706055
2018-01-11,13405.799809999999,1154.930054,276.1199951171875,125.44000244140625,124.30999755859375,91.8499984741211,76.68000030517578,28.969999313354492
2018-01-12,13980.59961,1273.199951,277.9200134277344,126.95999908447266,124.5199966430664,90.97000122070312,77.41999816894531,29.229999542236328
2018-01-16,11490.5,1053.689941,276.9700012207031,127.16999816894531,125.04000091552734,90.38999938964844,76.44000244140625,29.149999618530273
2018-01-17,11188.59961,1014.25,279.6099853515625,126.13999938964844,124.87000274658203,90.54000091552734,77.11000061035156,29.3700008392334
2018-01-18,11474.90039,1036.280029,279.1400146484375,125.86000061035156,123.70999908447266,90.5,76.4800033569336,29.329999923706055
2018-01-19,11607.40039,1039.099976,280.4100036621094,126.41999816894531,123.05999755859375,90.56999969482422,76.37999725341797,29.540000915527344
2018-01-22,10931.40039,1003.26001,282.69000244140625,126.6500015258789,123.18000030517578,90.4000015258789,78.02999877929688,29.780000686645508
2018-01-23,10868.40039,986.2290039999999,283.2900085449219,127.27999877929688,123.70999908447266,90.12000274658203,77.91000366210938,29.809999465942383
2018-01-24,11359.40039,1058.780029,283.17999267578125,128.8300018310547,123.04000091552734,89.20999908447266,77.69999694824219,30.010000228881836
2018-01-25,11259.40039,1056.030029,283.29998779296875,127.97000122070312,124.05000305175781,89.38999938964844,77.08999633789062,29.950000762939453
2018-01-26,11171.40039,1055.170044,286.5799865722656,128.07000732421875,123.58999633789062,89.06999969482422,77.51000213623047,30.170000076293945
2018-01-29,11296.40039,1182.359985,284.67999267578125,127.3499984741211,122.7300033569336,89.30999755859375,76.33999633789062,30.049999237060547
2018-01-30,10106.299809999999,1071.130005,281.760009765625,126.80000305175781,122.01000213623047,89.19000244140625,74.80000305175781,29.65999984741211
2018-01-31,10221.09961,1118.310059,281.8999938964844,127.6500015258789,122.7300033569336,89.12999725341797,74.8499984741211,29.739999771118164
2018-02-01,9170.540039,1036.790039,281.5799865722656,128.07000732421875,120.69999694824219,88.66999816894531,75.62000274658203,30.020000457763672
2018-02-02,8830.75,915.784973,275.45001220703125,126.38999938964844,119.58000183105469,89.19999694824219,72.45999908447266,29.360000610351562
2018-02-05,6955.27002,697.9509889999999,263.92999267578125,126.70999908447266,120.70999908447266,89.55000305175781,69.41999816894531,27.8799991607666
2018-02-06,7754.0,793.1220089999999,269.1300048828125,125.37999725341797,119.95999908447266,89.58999633789062,69.97000122070312,28.389999389648438
2018-02-07,7621.299805,757.067993,267.6700134277344,124.79000091552734,118.81999969482422,90.26000213623047,68.80000305175781,28.40999984741211
2018-02-08,8265.589844,817.807007,257.6300048828125,124.9800033569336,118.69000244140625,90.2300033569336,66.72000122070312,27.15999984741211
2018-02-09,8736.980469,883.86499,261.5,124.7699966430664,117.94000244140625,90.44000244140625,66.66999816894531,27.68000030517578
2018-02-12,8926.570313,868.70697,265.3399963378906,125.37000274658203,118.45999908447266,90.20999908447266,67.76000213623047,28.06999969482422
